+--------+-----------+--------------------------+---------------------+------------------------------------------------------------------------+--------------+
| Domain | Method    | URI                      | Name                | Action                                                                 | Middleware   |
+--------+-----------+--------------------------+---------------------+------------------------------------------------------------------------+--------------+
|        | GET|HEAD  | register                 | register            | App\Http\Controllers\Auth\RegisterController@showRegistrationForm      | web,guest    |
|        | GET|HEAD  | register_user            |                     | App\Http\Controllers\Frontend\FrontController@register                 | web          |
|        | POST      | registeruser             | register.user       | App\Http\Controllers\Backend\RegisterController@register               | web          |
|        | POST      | role                     | role.store          | App\Http\Controllers\Backend\RoleController@store                      | web,auth     |
|        | GET|HEAD  | role                     | role.index          | App\Http\Controllers\Backend\RoleController@index                      | web,auth     |
|        | POST      | role/create              | role.store          | App\Http\Controllers\Backend\RoleController@store                      | web,auth     |
|        | GET|HEAD  | role/create              | role.create         | App\Http\Controllers\Backend\RoleController@create                     | web,auth     |
|        | GET|HEAD  | role/datatables          | role.datatables     | App\Http\Controllers\Backend\RoleController@dataTables                 | web,auth     |
|        | GET|HEAD  | role/delete/{id}         | role.delete         | App\Http\Controllers\Backend\RoleController@destroy                    | web,auth     |
|        | GET|HEAD  | role/edit/{id}           | role.edit           | App\Http\Controllers\Backend\RoleController@edit                       | web,auth     |
|        | GET|HEAD  | role/show/{id}           | role.show           | App\Http\Controllers\Backend\RoleController@show                       | web,auth     |
|        | PUT       | role/update/{id}         | role.update         | App\Http\Controllers\Backend\RoleController@update                     | web,auth     |
|        | GET|HEAD  | role/{role}              | role.show           | App\Http\Controllers\Backend\RoleController@show                       | web,auth     |
|        | DELETE    | role/{role}              | role.destroy        | App\Http\Controllers\Backend\RoleController@destroy                    | web,auth     |
|        | PUT|PATCH | role/{role}              | role.update         | App\Http\Controllers\Backend\RoleController@update                     | web,auth     |
|        | GET|HEAD  | role/{role}/edit         | role.edit           | App\Http\Controllers\Backend\RoleController@edit                       | web,auth     |
|        | POST      | roomtype                 | roomtype.store      | App\Http\Controllers\Backend\RoomTypeController@store                  | web,auth     |
|        | GET|HEAD  | roomtype                 | roomtype.index      | App\Http\Controllers\Backend\RoomTypeController@index                  | web,auth     |
|        | GET|HEAD  | roomtype/create          | roomtype.create     | App\Http\Controllers\Backend\RoomTypeController@create                 | web,auth     |
|        | POST      | roomtype/create          | roomtype.store      | App\Http\Controllers\Backend\RoomTypeController@store                  | web,auth     |
|        | GET|HEAD  | roomtype/datatables      | roomtype.datatables | App\Http\Controllers\Backend\RoomTypeController@dataTables             | web,auth     |
